SIZEIS: 2048 1
11.4922 12.4922 221 2
8 -3.99805 178 2
24.5 -13.4922 209 2
-1 9.99219 239 2
21.4844 -9.5 260 2
11.9922 10.9922 247 2
4 29 254 2
10.9922 28.9844 196 2
-15 15.9922 215 2
15.5 7.5 247 2
-16.5 25.4844 262 2
35.4688 -21.5 225 2
18.4844 -21.5 287 2
-9 24 223 2
21.9844 -11 234 2
-0 0 0 32
0.00246239 0.00239372 0 32
-0 0 0 32
-0 0 0 16
-0 0 0 8
-0 0 0 4
-32752 32768 16382 2
-2 5 9 2
8 2 0 2
0.999512 3.99805 16 2
0.899902 0.399902 -1 4
5.49609 0.499756 7 2
4.49609 -4.5 19 2
2.5 1.5 8 2
0.5 1.5 11 2
-0 0 0 8
-0 0 0 2
8 1 0 2
-0 0 0 2
7 -2 2 2
1.99902 -1 11 2
4.99609 5 11 2
7 4 8 2
7.99609 6.99609 28 2
-0 0 0 2
-32752 -32752 -16385 2
-0 0 0 2
11.5 2.5 0 2
9.99219 2.99805 14 2
11.4922 2.49805 36 2
16.5 10.5 16 2
6 7 45 2
-0 0 0 16
-0 0 0 8
1.5 1.5 0 2
9.5 7.5 6 2
-65504 2.99609 -3 2
7.99609 -4.76837e-07 24 2
11 6.55651e-07 38 2
0.999512 -3 54 2
2 -6 41 2
2.99805 -8 50 2
11 3 0 2
8.5 4.5 21 2
13.5 -0.5 3 2
7 -3.99805 31 2
0.999512 12 36 2
4.49609 5.49609 39 2
4.99609 -7 49 2
-2 -2 48 2
-0 0 0 4
-0 0 0 2
32752 -32752 16383 2
-0 0 0 2
-0 0 0 2
-0 0 0 4
1.09961 0.949707 -2 4
11 1.78814e-07 3 2
6.99609 -1 20 2
11 1 2 2
3.5 -3.5 20 2
6 -6 35 2
-4 -8 43 2
2 -5 27 2
1 -1 28 2
4.02344 1.87402 7 4
2.5 0.5 22 2
4 2 26 2
-1.19209e-06 -1 22 2
1.99902 -4 27 2
-0 0 0 16
-0 0 0 8
-0 0 0 4
32768 0.00195312 0 2
-32656 2.49805 32767 2
-0 0 -32767 2
-16328 -16328 24606 2
-0 0 0 2
32752 32752 -16383 2
-0 0 0 2
49120 -16376 8190 2
-16336 -16336 -24598 2
2.49805 1.49902 96 2
-1 10 108 2
0.5 9.5 107 2
-0 0 0 8
-0 0 0 2
32768 0.00195312 0 2
-0 0 0 2
-32752 -1.50098 -2 2
-3.5 -1.5 132 2
4 14 128 2
-16320 -16328 24607 2
13.4922 -13.5 132 2
32752 32752 -16383 2
-32640 -0.0019455 -32767 2
16376 16384 24571 2
-32624 1.5 -32768 2
-7.5 7.5 119 2
6.5 -0.499756 114 2
-0.5 10.5 132 2
-3 11.9922 125 2
0.294434 0.297607 -1 8
0.899902 1.09961 -1 4
-0 0 0 2
-0 0 0 2
-2 2 4 2
-2 3 0 2
0.749512 1.89941 4 4
-1.14941 1 9 4
1.69922 1.34961 -2 4
0.899902 1.7998 6 4
2.375 3.27344 3 4
6.99609 4 10 2
0.999512 1.99902 23 2
1.99902 1.99902 23 2
-6.5 -2.5 27 2
-3 -1.78814e-07 12 2
1 5.96046e-08 9 2
-1 3 13 2
1.5 4.5 11 2
0.999512 -2.98023e-07 13 2
-1 1.99902 10 2
-2.5 0.499756 14 2
7.99609 11 9 2
-0.549805 1.34961 20 4
2 2 16 2
19.5 1.49902 36 2
9.49219 18.5 16 2
5.99609 11 30 2
-0 0 0 2
-0 0 0 2
-0 0 0 2
-0 65504 0 2
-0 0 0 2
32752 32752 -16383 2
-0 32768 0 2
-32672 -32672 -44 2
1.99902 5 1 2
16384 -16352 8192 2
11 3 7 2
30.4844 15.5 29 2
33.5 1.49902 76 2
12.4922 3.49805 134 2
17 16 98 2
7.5 -3.49805 140 2
-16304 -16304 -24613 2
2.5 10.5 141 2
5.49609 0.499756 155 2
0.5 4.5 158 2
8.99219 4.99609 152 2
-3.5 11.4922 158 2
3.49805 2.49805 162 2
8.49219 1.49902 166 2
5.99609 -6 156 2
4.49609 -0.5 163 2
7.49609 2.49805 148 2
7.49609 -1.5 162 2
3.19922 2.19922 169 4
21.5 16.5 6 2
31.5 14.5 69 2
33.9688 19 44 2
7.5 7.5 105 2
4.99609 -5 121 2
8.49219 -0.5 137 2
8.99219 0.999512 119 2
12.4922 -1.5 132 2
7.5 -16.5 76 2
4.5 -28.5 101 2
3.5 3.5 42 2
1.49902 -5.5 54 2
6.99609 -30 107 2
14.9922 -25 112 2
3 -4 54 2
6.99609 -17 67 2
4.49609 0.499756 149 2
6.99609 -2 159 2
1.99902 -2 153 2
5.99609 0.999512 157 2
5.99609 2.99805 171 2
6.99609 -1 184 2
7.99609 0.999512 171 2
5 3 185 2
6.99609 32624 138 2
5.99609 -12 157 2
-0 0 -32767 2
-32624 -3 -32766 2
4.49609 -7.5 173 2
8.49219 -4.5 179 2
10.9922 -13 154 2
7.99609 -6 174 2
-3 10 113 2
-12 22.9844 97 2
10.9922 -5 116 2
0.999512 1.99902 128 2
-29 32 60 2
32736 0.00195122 32 2
-20.5 12.5 118 2
-20 15.9922 55 2
9.99219 -1 105 2
9.5 -1.49902 122 2
6.49609 8.49219 111 2
3.99805 6.99609 127 2
-7.5 5.49609 134 2
-45 22 98 2
2 3 133 2
-20 17 125 2
-0 0 -32767 2
-0 0 -32767 2
16360 -16360 24587 2
-0 0 -32767 2
-16288 16288 24622 2
-16272 16288 8336 2
-0 0 -32767 2
-0 0 -32767 2
0.999512 2.99805 38 2
16368 -16352 8221 2
-6.5 42.5 74 2
-14 36 65 2
-0 0 -32767 2
-0 0 -32767 2
16352 -16352 24591 2
-0 0 -32767 2
-3 8 130 2
13.9922 4.99609 134 2
-5.5 -0.5 148 2
10.9922 -1 143 2
-8.5 9.5 145 2
-5.00679e-06 -2 138 2
-0.5 -2.5 158 2
-2 12.9922 149 2
1.99902 -6 130 2
10 -3.99805 135 2
7.99609 9.99219 129 2
-1 5 137 2
6.99609 -4.82798e-06 148 2
-0.5 3.5 164 2
12.9922 9.99219 145 2
6.99609 0.999512 171 2
6.99609 10.9922 138 2
-7.5 24.4844 138 2
11.4922 7.49609 152 2
8.99219 2.99805 172 2
-0 0 -32767 2
-0 0 -32767 2
16280 -16280 24628 2
-0 0 -32767 2
2.5 0.5 164 2
15.5 1.5 174 2
-2 8.99219 170 2
22 13 178 2
4.5 0.5 210 2
32560 -13.9922 213 2
-6 -5 221 2
32592 -17.9844 182 2
8 32528 225 2
-16240 16248 8387 2
-0 0 -32767 2
-32512 -6 -32764 2
2 2 274 2
-7 8.99219 272 2
16.5 -11.5 262 2
7.49609 5.49609 277 2
-16280 -16280 -24626 2
23 2 212 2
-32576 -15 -32760 2
28.4844 -11.5 215 2
12.9922 10.9922 248 2
20.4844 17.4844 288 2
15 -9 263 2
17 -18 295 2
10.5 6.5 262 2
6 14 291 2
12.4922 23.4844 285 2
11.9922 16.9844 318 2
-26 29 278 2
-2 6.99609 236 2
-8.5 26.4844 325 2
-17.5 51.4688 284 2
9.5 3.5 322 2
6 3.57628e-07 343 2
8.49219 -12.5 320 2
6 -16 344 2
4.5 2.5 349 2
-4 22 355 2
4 -21 351 2
16.5 -19.5 371 2
-32624 -18.4844 -32758 2
35.4688 -28.5 187 2
-16352 -16344 24593 2
46.4688 -26.5 110 2
17.4844 -18.5 238 2
10.4922 -14.5 270 2
27 -34 193 2
0.999512 -52 237 2
-8 5.99609 74 2
11.9922 -3 75 2
9.99219 1.99902 95 2
1 40 95 2
9.99219 -32 117 2
2.49805 -35.5 138 2
-14.5 40.5 92 2
9.99219 33 84 2
8.49219 -25.5 292 2
-14 -46 292 2
-5 -47 232 2
-17.5 -34.5 217 2
-1 -51 282 2
30.5 -68.5 304 2
-14.5 -46.5 185 2
15.9922 -46 169 2
0.499756 -27.5 131 2
8 -17 129 2
3.5 32656 99 2
-0 0 -32767 2
-3 -10 119 2
3.49805 13.4922 108 2
-16312 -16216 24621 2
0.499756 39.4688 167 2
-1.5 12.4922 154 2
-3.5 7.49609 149 2
-1 11.9922 173 2
-5.5 10.4922 165 2
7 5 158 2
9.99219 11.9922 173 2
9.49219 8.49219 169 2
19 2 198 2
3.04883 4.19922 187 4
-4 13 198 2
15.5 4.5 198 2
8 4 212 2
-1.5 2.49805 222 2
-1.5 15.5 187 2
18.4844 -0.5 196 2
-2.5 9.49219 226 2
-2.5 6.49609 213 2
-37.5 -6.5 219 2
16288 -16336 8312 2
-27.5 5.49609 214 2
-43 25.9844 141 2
